LAUNCHES_REC_ID,NOTAM_REC_ID,LowerAltitude,UpperAltitude,IssueTime,StartTime,StopTime,E_CODE,,,,
385,793108,0,999000,2/20/18 10:27,2/21/18 13:30,2/21/18 15:30,MBST/WS DETECTION SYSTEM NOT AVBL ,,,,
385,793408,3.00E+05,999000,2/14/18 4:34,2/21/18 13:30,2/21/18 17:30,EXPERIMENTAL FLT TRIL WILL TAKE PLACE WITH THE FLW DETAILS.  DANGER ZONES COORDINATES: POINT A- 212218.48N 0865545.12E POINT B- 210917.64N 0865127.36E POINT C- 204622.08N 0871011.28E POINT D- 181319.92N 0880808.52E POINT E- 184731.20N 0891142.72E POINT F- 205255.92N 0872220.28E POINT G- 211939.72N 0871037.92E POINT H- 212241.16N 0865627.24E POINT A- 212218.48N 0865545.12E NO OVER FLYING ACTIVITY IS PERMISSIBLE WI THE ABOVE MENTIONED DANGER AREA.  DURING THE HOURS OF LAUNCH,,,,
385,792931,0,999000,2/21/18 4:55,2/21/18 13:30,2/21/18 22:30,ILS DME CH36X U/S ,,,,
385,792996,0,230000,2/20/18 5:33,2/21/18 13:30,2/22/18 1:30,AIRSPACE R5203 ACT SFC-FL230,,,,
385,799839,0,999000,2/18/18 8:06,2/21/18 13:30,2/23/18 15:30,THE FOLLOWING RESTRICTIONS ARE REQUIRED DUE TO ALT RESERVATION (ALTRV) 2ROPS AIROP DO-1803 PART A &amp; B. THE FIRST DAY IS PRIMARY FOLLOWED BY TWO BACKUP DATES. EASTBOUND TFC ON R585 NO RESTRICTIONS. WESTBOUND TRAFFIC ON R576 EST DINTY DLY 1400-1530 SHOULD FILE MQO C1155 AUDIA DUETS R576. EASTBOUND TRAFFIC ON R577 EST ELKEY DLY 1330-1505 SHOULD FILE EDSEL AUDIA C1155 MQO. EASTBOUND TRAFFIC ON R578 EST FICKY DLY 1330-1520 SHOULD FILE FOOTS AUDIA C1155 MQO. WESTBOUND TRAFFIC ON R578 EST FICKY DLY 1345-1520 SHOULD FILE MQO C1155 AUDIA DUETS R576. NORTH-EASTBOUND TRAFFIC FROM THE SOUTH PACIFIC EST FICKY DLY 1345-1520 SHOULD FILE WEST OF 2730N12800W DCT AUDIA C1155 MQO. SOUTH-WESTBOUND TRAFFIC TO THE SOUTH PACIFIC EST FICKY DLY 1345-1520 SHOULD FILE C1155 AUDIA 2730N12800W FLT PLAN ROUTE. THE TEMPORARY ROUTES DESCRIBED ABOVE ARE FOR ACFT EQUIPPED WITH RNP-10 NAVIGATION SYSTEMS OR BETTER. ALL OTHERS SHOULD FLT PLAN TO AVOID THE AIRSPACE NOTAMED FOR ALTRV 2ROPS AIROP DO-1803 PART A &amp; B BY AT LEAST 50NM. TIMES LISTED ABOVE ARE BASED ON THE PERFORMANCE OF TURBOJET ACFT ONLY AND SLOWER ACFT SHOULD PLAN ACCORDINGLY. END PART 1 OF 2 A0735/18 NOTAMN Q) KZAK/QRDCA////000/999/ A) KZAK PART 2 OF 2 B) 1802211330 C) 1802231530 D) DLY 1330-1530 E) QUESTIONS SHOULD BE DIRECTED TO THE MIL OPS SPECIALIST AT 510-745-3334.,,,,
450,1228334,0,999000,3/1/19 7:06,3/1/19 18:00,3/2/19 6:00,ATS REPORTING OFFICE (ARO) RIJEKA CLOSED. SERVICE PROVIDED BY ARO PULA: TEL +385 52 372510 FAX +385 52 550922 MAIL: ARO.LDPL(A)CROCONTROL.HR ,,,,
450,1229622,5000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK FALLS MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,,,,
450,1229829,0,43000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R4501B ACT SFC-4300FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229831,0,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601H ACT SFC-2000FT,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229622,5000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK FALLS MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229833,5000,20000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R5601J ACT 500FT AGL-2000FT,,,,
450,1229841,0,80000,3/1/19 14:03,3/2/19 4:01,3/2/19 6:00,AIRSPACE R2102A ACT SFC-8000FT,,,,
450,1229622,5000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK FALLS MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,,,,
450,1229622,5000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK FALLS MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,,,,
450,1223529,40000,310000,2/28/19 13:47,3/1/19 19:00,3/1/19 21:45,STNR ALT RESERVATION STARFIGHTER ACT. MIAMI CENTER WILL NOT APPROVE IFR FLIGHTS AND VFR SHOULD EXERCISE EXTREME CAUTION  WI AN AREA DEFINED AS  2842N08029W TO 2856N07942W TO 2800N07952W TO 2800N08002W TO POINT OF ORIGIN. THIS ALTITUDE RESERVATION ENCOMPASSES PORTIONS OF W497A/B.,,,,
450,1223918,180000,240000,2/28/19 16:03,3/1/19 19:00,3/1/19 22:00,W237E ACT,,,,
450,1223930,180000,240000,2/28/19 16:03,3/1/19 19:00,3/1/19 22:00,W237C ACT,,,,
450,1223969,180000,240000,2/28/19 16:03,3/1/19 19:00,3/1/19 22:00,W237D ACT,,,,
450,1224202,180000,240000,2/28/19 16:21,3/1/19 19:00,3/1/19 22:00,W237E ACT,,,,
450,1224226,180000,240000,2/28/19 16:21,3/1/19 19:00,3/1/19 22:00,W237D ACT,,,,
450,1229164,0,999000,3/1/19 10:19,3/1/19 18:00,3/2/19 6:00,AD AVBL AS ALTN. ,,,,
450,1229834,180000,240000,2/28/19 16:21,3/1/19 19:00,3/1/19 22:00,W237C ACT,,,,
450,1227756,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART E MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227756,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART E MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227760,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227760,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227770,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227770,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227787,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227787,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227792,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1224424,0,999000,2/28/19 17:01,3/1/19 19:00,3/1/19 21:00,TEMPO DANGER AREA NZD825 (ELLESMERE) IS PRESCRIBED AS FLW ALL THAT AIRSPACE BOUNDED BY A LINE JOINING: 43 49 39.0 S 172 41 54.0 E 44 39 08.1 S 172 56 42.7 E 44 48 18.1 S 172 45 27.9 E 44 49 29.0 S 172 34 55.0 E 44 46 51.0 S 172 09 58.0 E 43 49 39.0 S 172 41 54.0 E ACTIVITY: SPACE DEBRIS RETURN USEING AGENCY: UNIVERSITY OF CANTERBURY AEROSPACE,,,,
450,1227792,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227796,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART B MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227796,110000,180000,3/1/19 5:02,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART B MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227757,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227757,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227757,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227758,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227758,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227758,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227759,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER LOW MOA ACT 500FT AGL-10999FT,,,,
450,1224439,0,999000,2/28/19 17:05,3/1/19 19:00,3/1/19 21:00,TEMPO DANGER AREA NZD027 (AUCKLAND OCEANIC FIR) IS PRESCRIBED AS FLW ALL THAT AIRSPACE BOUNDED BY A LINE JOINING: 44 46 47.0 S 172 59 00.0 E 44 39 08.1 S 172 56 42.7 E 44 48 18.1 S 172 45 27.9 E 44 46 47.0 S 172 59 00.0 E ACTIVITY: SPACE DEBRIS RETURN USEING AGENCY: UNIVERSITY OF CANTERBURY AEROSPACE,,,,
450,1227767,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227767,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227767,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER C MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227773,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER A MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227773,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER A MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227773,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER A MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227774,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227774,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227774,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227777,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227761,80000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK EAST MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227777,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227777,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER D MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227779,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART F MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227779,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART F MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227781,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART E MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227781,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART E MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227782,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER B MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227782,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER B MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227782,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER B MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227785,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227772,60000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK SOUTH MOA ACT 6000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227785,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227785,5000,109990,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE JUNIPER EAST LOW MOA ACT 500FT AGL-10999FT,,,,
450,1227786,5000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE VOLK WEST MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227789,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART A MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227789,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART A MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227791,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART F MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227791,110000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 22:00,AIRSPACE HART F MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1227768,1.00E+05,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 23:00,AIRSPACE DOME MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1225967,0,999000,2/28/19 23:56,3/1/19 19:00,3/2/19 3:00,SYDNEY AIR TRAFFIC FLOW MANAGEMENT GROUND DELAY PROGRAM ACT ALL FIXED WING NON-PRIORITY FLIGHTS DEPARTING FROM ALL AUSTRALIAN AIRPORTS ARE REQUIRED TO OBTAIN A CALCULATED OFF BLOCKS TIME (COBT) FOR ARRIVAL INTO SYDNEY ,,,,
450,1227795,310000,999000,3/1/19 5:03,3/1/19 19:00,3/2/19 5:00,AIRSPACE R2202D ACT FL310-UNL,,,,
450,1227778,60000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK SOUTH MOA ACT 6000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1221996,0,NA,2/28/19 9:01,3/1/19 19:00,3/2/19 6:00,AIRSPACE AIRDROP WI AN AREA DEFINED AS 3NM RADIUS OF IWA036035 (35NM NE IWA ) SFC-1000FT,,,,
450,1214319,0,230000,2/21/19 3:59,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1451.,,,,
450,1214335,0,230000,2/21/19 4:02,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1455.,,,,
450,1214365,0,50000,2/21/19 4:06,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1463.,,,,
450,1214366,0,230000,2/21/19 4:06,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1457.,,,,
450,1214367,20000,4.00E+05,2/21/19 4:06,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1460.,,,,
450,1214370,0,999000,2/21/19 4:06,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1464.,,,,
450,1214372,0,230000,2/21/19 4:06,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1458.,,,,
450,1214363,0,4.00E+05,2/21/19 4:07,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1461.,,,,
450,1214371,0,50000,2/21/19 4:07,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1465.,,,,
450,1227783,80000,180000,3/1/19 5:03,3/1/19 19:00,3/1/19 21:00,AIRSPACE VOLK EAST MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,,,,
450,1214394,0,40000,2/21/19 4:11,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1466.,,,,
450,1214389,0,50000,2/21/19 4:12,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1467.,,,,
450,1214401,0,1.00E+05,2/21/19 4:16,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1468.,,,,
450,1214403,0,230000,2/21/19 4:16,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1490.,,,,
450,1214406,0,170000,2/21/19 4:16,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1410.,,,,
450,1214413,0,170000,2/21/19 4:16,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1412.,,,,
450,1214419,0,240000,2/21/19 4:16,3/1/19 19:00,4/1/19 16:00,RESTRICTED AREA ACT: UHR1654.,,,,
450,1214434,0,1.00E+05,2/21/19 4:22,3/1/19 19:00,4/1/19 16:00,AIRSPACE CLSD WI 5KM EITHER SIDE OF LINE JOINING POINTS: 441400N1321400E-435500N1313300E-434500N1313200E- 434300N1314100E-434500N1320000E-441300N1322200E.,,,,
