FIR,City,Country
KZAB,Albuquerque ARTCC, United States
KZAK,Oakland Oceanic ARTCC, United States
KZAU,Chicago ARTCC, United States
KZBW,Boston ARTCC, United States
KZDC,Washington ARTCC, United States
KZDV,Denver ARTCC, United States
KZFW,Ft Worth ARTCC, United States
KZHU,Houston ARTCC, United States
KZID,Indianapolis ARTCC, United States
KZJX,Jacksonville ARTCC, United States
KZKC,Kansas City ARTCC, United States
KZLA,Los Angeles ARTCC, United States
KZLC,Salt Lake ARTCC, United States
KZMA,Miami ARTCC, United States
KZME,Memphis ARTCC, United States
KZMP,Minneapolis ARTCC, United States
KZNY,New York ARTCC, United States
KZOA,Oakland ARTCC, United States
KZOB,Cleveland ARTCC, United States
KZSE,Seattle ARTCC, United States
KZTL,Atlanta ARTCC, United States
KZWY,New York Oceanic ARTCC, United States
PAZA,Anchorage ACC, United States
PAZN,Anchorage Oceanic ACC, United States
PHZH,Honolulu ACC, United States
TJZS,San Juan ACC, Puerto Rico ( United States)
MMFO,Mazatlan Oceanic ACC, Mexico
MMFR,Mexico ACC, Mexico
CZEG,Edmonton ACC, Canada
CZQM,Moncton Southern ACC, Canada
CZQX,Gander Domestic ACC, Canada
CZUL,Montreal ACC, Canada
CZVR,Vancouver ACC, Canada
CZWG,Winnipeg ACC, Canada
CZYZ,Toronto ACC, Canada
ZAB,Albuquerque ARTCC, United States
ZAK,Oakland Oceanic ARTCC, United States
ZAU,Chicago ARTCC, United States
ZBW,Boston ARTCC, United States
ZDC,Washington ARTCC, United States
ZDV,Denver ARTCC, United States
ZFW,Ft Worth ARTCC, United States
ZHU,Houston ARTCC, United States
ZID,Indianapolis ARTCC, United States
ZJX,Jacksonville ARTCC, United States
ZKC,Kansas City ARTCC, United States
ZLA,Los Angeles ARTCC, United States
ZLC,Salt Lake ARTCC, United States
ZMA,Miami ARTCC, United States
ZME,Memphis ARTCC, United States
ZMP,Minneapolis ARTCC, United States
ZNY,New York ARTCC, United States
ZOA,Oakland ARTCC, United States
ZOB,Cleveland ARTCC, United States
ZSE,Seattle ARTCC, United States
ZTL,Atlanta ARTCC, United States
ZWY,New York Oceanic ARTCC, United States
