SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,1006
2,Cape Canaveral Air Force Station,1038
2,Cape Canaveral Air Force Station,1039
2,Cape Canaveral Air Force Station,1076
2,Cape Canaveral Air Force Station,1121
2,Cape Canaveral Air Force Station,1140
2,Cape Canaveral Air Force Station,1155
2,Cape Canaveral Air Force Station,9630
2,Cape Canaveral Air Force Station,9666
2,Cape Canaveral Air Force Station,13025
2,Cape Canaveral Air Force Station,13418
2,Cape Canaveral Air Force Station,13419
2,Cape Canaveral Air Force Station,13420
2,Cape Canaveral Air Force Station,13425
2,Cape Canaveral Air Force Station,13426
2,Cape Canaveral Air Force Station,13427
2,Cape Canaveral Air Force Station,13428
2,Cape Canaveral Air Force Station,13434
2,Cape Canaveral Air Force Station,16347
2,Cape Canaveral Air Force Station,17108
2,Cape Canaveral Air Force Station,17109
2,Cape Canaveral Air Force Station,17110
2,Cape Canaveral Air Force Station,17115
2,Cape Canaveral Air Force Station,17117
2,Cape Canaveral Air Force Station,17118
2,Cape Canaveral Air Force Station,17119
2,Cape Canaveral Air Force Station,17124
2,Cape Canaveral Air Force Station,19612
2,Cape Canaveral Air Force Station,19613
2,Cape Canaveral Air Force Station,19614
2,Cape Canaveral Air Force Station,19619
2,Cape Canaveral Air Force Station,19620
2,Cape Canaveral Air Force Station,19621
2,Cape Canaveral Air Force Station,19622
2,Cape Canaveral Air Force Station,19628
2,Cape Canaveral Air Force Station,22934
2,Cape Canaveral Air Force Station,22935
2,Cape Canaveral Air Force Station,26334
2,Cape Canaveral Air Force Station,29637
2,Cape Canaveral Air Force Station,29638
2,Cape Canaveral Air Force Station,29639
2,Cape Canaveral Air Force Station,29643
2,Cape Canaveral Air Force Station,29644
2,Cape Canaveral Air Force Station,29645
2,Cape Canaveral Air Force Station,29668
2,Cape Canaveral Air Force Station,30579
2,Cape Canaveral Air Force Station,31543
2,Cape Canaveral Air Force Station,31544
2,Cape Canaveral Air Force Station,31545
2,Cape Canaveral Air Force Station,31548
2,Cape Canaveral Air Force Station,31549
2,Cape Canaveral Air Force Station,31550
2,Cape Canaveral Air Force Station,31551
2,Cape Canaveral Air Force Station,31552
2,Cape Canaveral Air Force Station,31557
2,Cape Canaveral Air Force Station,31558
2,Cape Canaveral Air Force Station,31559
2,Cape Canaveral Air Force Station,31560
2,Cape Canaveral Air Force Station,31587
2,Cape Canaveral Air Force Station,31610
2,Cape Canaveral Air Force Station,31611
2,Cape Canaveral Air Force Station,31612
2,Cape Canaveral Air Force Station,31613
2,Cape Canaveral Air Force Station,31614
2,Cape Canaveral Air Force Station,31615
2,Cape Canaveral Air Force Station,32010
2,Cape Canaveral Air Force Station,32011
2,Cape Canaveral Air Force Station,32016
2,Cape Canaveral Air Force Station,32023
2,Cape Canaveral Air Force Station,32024
2,Cape Canaveral Air Force Station,32026
2,Cape Canaveral Air Force Station,32029
2,Cape Canaveral Air Force Station,32034
2,Cape Canaveral Air Force Station,32037
