SPACEPORT_REC_ID,POLYGON_ID,Interaction
2,680,Intersect
2,681,Intersect
2,683,Intersect
2,703,Intersect
2,704,Intersect
2,705,Intersect
2,710,Intersect
2,711,Intersect
2,712,Intersect
2,713,Intersect
2,718,Intersect
2,747,Intersect
2,748,Intersect
2,749,Intersect
2,754,Intersect
2,794,Intersect
2,795,Intersect
2,796,Intersect
2,801,Intersect
2,819,Intersect
2,820,Intersect
2,832,Intersect
2,833,Intersect
2,7433,Intersect
2,7462,Intersect
2,9787,Intersect
2,10124,Intersect
2,10125,Intersect
2,10126,Intersect
2,10131,Intersect
2,10132,Intersect
2,10133,Intersect
2,10134,Intersect
2,10139,Intersect
2,12830,Intersect
2,13441,Intersect
2,13442,Intersect
2,13443,Intersect
2,13448,Intersect
2,13450,Intersect
2,13451,Intersect
2,13452,Intersect
2,13457,Intersect
2,15378,Intersect
2,15379,Intersect
2,15380,Intersect
2,15385,Intersect
2,15386,Intersect
2,15387,Intersect
2,15388,Intersect
2,15393,Intersect
2,18137,Intersect
2,18138,Intersect
2,19815,Intersect
2,22663,Intersect
2,22664,Intersect
2,22665,Intersect
2,22670,Intersect
2,22671,Intersect
2,22672,Intersect
2,22673,Intersect
2,22678,Intersect
2,23417,Intersect
2,24060,Intersect
2,24061,Intersect
2,24062,Intersect
2,24063,Intersect
2,24064,Intersect
2,24065,Intersect
2,24066,Intersect
2,24067,Intersect
2,24072,Intersect
2,24073,Intersect
2,24074,Intersect
2,24075,Intersect
2,24080,Intersect
2,24091,Intersect
2,24092,Intersect
2,24093,Intersect
2,24094,Intersect
2,24095,Intersect
2,24096,Intersect
2,24393,Intersect
2,24394,Intersect
2,24395,Intersect
2,24400,Intersect
2,24401,Intersect
2,24402,Intersect
2,24403,Intersect
2,24408,Intersect
2,24410,Intersect
2,24411,Intersect
2,24412,Intersect
2,24413,Intersect
2,24414,Intersect
2,25992,Intersect
2,25993,Intersect
2,25995,Intersect
2,25996,Intersect
2,25997,Intersect
2,25999,Intersect
2,26119,Intersect
2,26135,Intersect
2,26195,Intersect
2,26196,Intersect
2,26198,Intersect
2,26212,Intersect
2,26213,Intersect
2,26215,Intersect
2,26224,Intersect
2,27844,Intersect
2,27845,Intersect
2,27846,Intersect
2,27851,Intersect
2,32529,Intersect
2,32530,Intersect
2,32531,Intersect
2,32532,Intersect
2,32537,Intersect
2,32560,Intersect
2,32561,Intersect
2,32563,Intersect
2,32571,Intersect
2,32579,Intersect
2,32580,Intersect
2,32583,Intersect
2,32584,Intersect
2,34203,Intersect
2,34204,Intersect
2,34205,Intersect
2,34210,Intersect
2,34221,Intersect
2,34222,Intersect
2,34223,Intersect
2,34228,Intersect
2,34455,Intersect
2,34456,Intersect
2,34485,Intersect
2,34486,Intersect
2,34487,Intersect
2,34492,Intersect
2,34497,Intersect
2,34498,Intersect
2,34500,Intersect
2,34501,Intersect
2,34502,Intersect
2,34505,Intersect
2,34506,Intersect
