LAUNCHES_REC_ID,DISCOVERED
201,[25525]
234,[25525]
236,[25525]
243,"[21915, 21916, 21917]"
248,"[1006, 1076, 1121, 1140, 1155, 5669, 5719, 6132, 6133, 6256]"
249,"[11419, 18656, 18657, 18658]"
251,"[12021, 12022, 19051, 19052, 19053, 19054, 19055, 19066, 19068, 19070, 19102, 19103, 19105]"
254,"[24942, 24943, 29952, 29953, 29954]"
256,"[4722, 25525]"
257,"[39421, 39423, 42464, 42515, 43061, 43062, 48743, 48744]"
258,"[52822, 52823, 52824, 53429, 53430, 53431, 53432]"
259,"[61614, 61615, 61618, 61995, 61996, 61997, 61998, 62371, 62372, 62373, 62411, 62412, 62413, 74200]"
260,"[62745, 64458, 64459, 64757, 64758, 67224, 69764, 69801, 69820, 69821]"
261,"[75916, 76921, 76922, 76923, 76924, 76941, 76942, 76943, 76944]"
262,"[4722, 25525, 74703, 74704, 74705, 74706, 75331, 120585]"
263,"[82263, 82275, 82303, 82341, 82373, 93345, 93346, 93347, 93348]"
266,"[107683, 108083, 110831, 110871, 111975]"
267,"[129763, 129764, 129765, 129766]"
268,[125382]
269,"[140109, 140111, 140184]"
270,"[139859, 139860, 140356, 140357, 144530, 144531, 144794, 144795]"
275,"[171815, 171818, 173612, 173614, 174500, 174525, 174560, 174737, 174738, 175510]"
276,"[176734, 176735, 179495, 179496, 179498]"
277,"[185630, 185633, 186410, 186412]"
278,"[198069, 198072]"
279,"[203006, 203009, 204969, 204970, 205901, 205902, 205903, 205904, 206560]"
282,"[196894, 196926, 214331, 214332, 214333, 218307, 218310, 218311, 219040, 219041, 219043]"
283,"[215895, 215896, 215897, 215898, 216713, 219012, 219013]"
284,"[226253, 226254, 228892, 228893, 228902, 228915, 228916, 228917, 228918, 228919]"
286,"[241594, 241598, 241613, 243478, 243479, 243481, 244042, 244043, 244350, 244351, 244353, 245080]"
287,"[247149, 247160, 247161, 247162, 247173, 247354, 247366, 247382, 247383, 248560, 248626, 248753, 248754, 248776, 248777]"
290,"[270919, 270923, 270924]"
295,"[294260, 294274, 294275, 294276, 294277, 294278, 294279, 294280]"
296,"[293957, 293963, 294135, 294136, 294489, 294490, 296292, 296293]"
298,"[311667, 311668, 312155, 312156]"
