Record_Type,LF_site_num,LF_Type,locid,faa_Region,county,county_state,city,facility_name,facility_ownership,facility_use,latitude_degrees,longitude_degrees,elevation_ft_msl,status,ArptLocation
APT,00103.*A,AIRPORT,0J0,ASO,HENRY,AL,ABBEVILLE,ABBEVILLE MUNI,PU,PU,31.60022222,-85.23830833,463.1,Open,POINT(-85.23830833 31.60022222)
APT,00106.*A,AIRPORT,2A8,ASO,WINSTON,AL,ADDISON,ADDISON MUNI,PU,PU,34.21714167,-87.15815833,786.0,Open,POINT(-87.15815833 34.21714167)
APT,00108.*A,AIRPORT,AL03,ASO,HALE,AL,AKRON,STRICKLAND/SMALLEY FLD,PR,PR,32.8475,-87.71388889,369.0,Open,POINT(-87.71388889 32.8475)
APT,00110.*A,AIRPORT,EET,ASO,SHELBY,AL,ALABASTER,SHELBY COUNTY,PU,PU,33.17777778,-86.78322222,585.6,Open,POINT(-86.78322222 33.17777778)
APT,00110.01*H,HELIPORT,AL39,ASO,SHELBY,AL,ALABASTER,SHELBY MEDICAL CENTER,PR,PR,33.25222222,-86.81222222,510.0,Open,POINT(-86.81222222 33.25222222)
APT,00112.1*A,AIRPORT,8A0,ASO,MARSHALL,AL,ALBERTVILLE,ALBERTVILLE RGNL-THOMAS J BRUMLIK FLD,PU,PU,34.22911111,-86.25575,32.3,Open,POINT(-86.25575 34.22911111)
APT,00116.*A,AIRPORT,ALX,ASO,TALLAPOOSA,AL,ALEXANDER CITY,THOMAS C RUSSELL FLD,PU,PU,32.91475,-85.96294444,685.8,Open,POINT(-85.96294444 32.91475)
APT,00119.*A,AIRPORT,AIV,ASO,PICKENS,AL,ALICEVILLE,GEORGE DOWNER,PU,PU,33.10674444,-88.197175,150.0,Open,POINT(-88.197175 33.10674444)
APT,00124.*A,AIRPORT,79J,ASO,COVINGTON,AL,ANDALUSIA,SOUTH ALABAMA RGNL AT BILL BENTON FLD,PU,PU,31.30836111,-86.39222222,310.2,Open,POINT(-86.39222222 31.30836111)
APT,00128.*A,AIRPORT,ANB,ASO,CALHOUN,AL,ANNISTON,ANNISTON RGNL,PU,PU,33.58816667,-85.85811111,612.0,Open,POINT(-85.85811111 33.58816667)
APT,00128.01*H,HELIPORT,AL42,ASO,CALHOUN,AL,ANNISTON,THE HEALTH CARE AUTHORITY OF THE CITY OF ANNISTON,PR,PR,33.65600556,-85.82444444,844.0,Open,POINT(-85.82444444 33.65600556)
APT,00128.02*H,HELIPORT,04AL,ASO,CALHOUN,AL,ANNISTON,ANNISTON AHP (ANNISTON ARMY DEPOT),MR,PR,33.62638889,-85.96722222,686.0,Open,POINT(-85.96722222 33.62638889)
APT,00133.5*A,AIRPORT,1M3,ASO,LIMESTONE,AL,ARDMORE,ARDMORE,PR,PU,34.97908333,-86.88327778,922.0,Open,POINT(-86.88327778 34.97908333)
