Facility,Altitude,boundary
ZAB,HIGH,"POLYGON ((-111.84166670000002 35.76666667, -110.23333329999998 35.7, -108.21666670000002 36.03333333, -107.46666670000002 36.2, -106.08333329999999 36.71666667, -105 36.71666667, -102.55 37.5, -101.75 36.5, -100 35.82916667, -100 35.33333333, -100.3166667 34.86666667, -100.75 34.46666667, -102 34.6, -102.325 34.55, -102.8 34.31666667, -103.3666667 33.775, -103.6916667 33.40277778, -103.8 33.38333333, -103.8 33, -103.9333333 32.46666667, -103.8 32.03333333, -103.33333329999999 31.65, -102.15 31.28333333, -102.5583333 29.76666667, -102.675 29.725, -102.8402778 29.36111111, -102.8833333 29.35833333, -102.8666667 29.21666667, -102.9833333 29.18333333, -103.15 28.95, -103.2855556 28.97666667, -103.45 29.06666667, -103.55 29.15, -103.7166667 29.18055556, -103.7833333 29.26527778, -104 29.30555556, -104.15 29.4, -104.2166667 29.48333333, -104.35 29.53333333, -104.5166667 29.65, -104.7 30, -104.6833333 30.15, -104.83333329999999 30.36666667, -104.98333329999998 30.68333333, -105.31666670000001 30.83333333, -105.55 31, -105.96666670000002 31.33333333, -106.2 31.46666667, -106.38333329999999 31.73333333, -106.5 31.75, -106.53333329999998 31.78333333, -108.2 31.78333333, -108.2 31.33333333, -111.08333329999999 31.33333333, -112 31.63333333, -113.50833329999999 32.1, -113.51275 32.11622222, -113.68472220000001 32.7375, -114 32.68333333, -114 33.4, -114 34.66666667, -113.7 34.86666667, -113.61666670000001 34.91666667, -112.92777779999999 35.25555556, -112.66666670000001 35.38333333, -112.15305559999999 35.39666667, -112 35.4, -111.84166670000002 35.76666667))"
ZAN,HIGH,"POLYGON ((-168.97305559999998 68, -158 72, -141 72, -141 62, -139.18333330000002 60.35, -139.075 60.35138889, -139.06666669999998 60.32083333, -139.2 60.08611111, -139.05 59.99166667, -138.70833330000002 59.9, -138.66666669999998 59.80833333, -138.6333333 59.77083333, -138.62433330000002 59.76888889, -136.2368611 59.52977778, -134.9879167 59.38744444, -135.025 59.35, -134.95833330000002 59.28333333, -134.7 59.25, -134.68333330000002 59.19166667, -134.575 59.13333333, -134.4833333 59.13333333, -134.45 59.09166667, -134.3833333 59.04166667, -134.4083333 58.975, -134.31666669999998 58.9625, -134.3375 58.925, -134.25 58.85833333, -133.9583333 58.76666667, -133.8333333 58.725, -133.6916667 58.6, -133.5583333 58.525, -133.375 58.425, -133.4583333 58.3875, -133.34166670000002 58.275, -133.25 58.2125, -133.175 58.15833333, -133.07083329999998 58, -132.86666670000002 57.8375, -132.75 57.7, -132.6666667 57.61666667, -132.55 57.49166667, -132.36666670000002 57.35, -132.25 57.20833333, -132.375 57.0875, -132.0416667 57.04166667, -132.0833333 57, -132.13333329999998 56.875, -131.875 56.80833333, -131.9 56.75, -131.86666670000002 56.70416667, -131.84166670000002 56.6, -131.5833333 56.6125, -131.46666670000002 56.55, -131.1833333 56.45, -131.0833333 56.40833333, -130.78333329999998 56.3625, -130.625 56.26666667, -130.55 56.24583333, -130.46666670000002 56.24166667, -130.4333333 56.14166667, -130.34166670000002 56.12916667, -130.25 56.09583333, -130.1 56.125, -130 56.00833333, -130.0166667 55.91666667, -130 55.90833333, -130.0833333 55.825, -130.125 55.80833333, -130.15 55.76666667, -130.1458333 55.71666667, -130.1083333 55.68333333, -130.125 55.58333333, -130.09583329999998 55.50416667, -130.03333329999998 55.44583333, -130.025 55.34166667, -129.97083329999998 55.28333333, -130.1 55.19166667, -130.1875 55.06666667, -130.2666667 54.975, -130.45 54.85, -130.55 54.79583333, -130.6291667 54.77916667, -130.65 54.7625, -130.625 54.74166667, -130.6083333 54.70833333, -131.8 54.49166667, -132.8333333 54.58333333, -134 54.10833333, -135.45 54.10833333, -136 54, -137 53.36744444, -151.75 56.76166667, -153 56, -160 53.5, -167.81666669999998 51.4, -176.56666669999998 50.13333333, -180 50.46958762, -180 60, -175 62.58333333, -168.97305559999998 65, -168.97305559999998 68))"
ZAN-E,HIGH,"POLYGON ((180 50.46958762, 173.7333333 51.08333333, 170 51.5, 170 54.66916667, 180 60, 180 50.46958762))"
ZAU,HIGH,"POLYGON ((-93.46666667 41.66666667, -93.05 42.66666667, -93 42.78333333, -91.725 42.725, -91.08333333 43.36666667, -90.82916667 43.61805556, -90.29166667 44.15416667, -89.5875 44.15416667, -89.07611111 44.225, -88.75416667 44.15944444, -88.46666667 44.1, -87.54166667 43.96666667, -87.16944444 43.69166667, -84.96361111 43.58666667, -85 43.5, -85 42, -84.76666667 41.85833333, -84.71666667 41.28333333, -84.7 40.95833333, -84.7 40.90833333, -84.68333333 40.775, -84.68333333 40.66666667, -85.525 40.35416667, -86.1 40, -88.25 40, -89.75 40, -91.65 40.78333333, -91.74166667 40.76388889, -93.49166667 40.525, -93.6 41.16666667, -93.50833333 41.43333333, -93.46666667 41.66666667))"
ZBW,HIGH,"POLYGON ((-76.79666667 43.63111111, -76.41666667 44.10416667, -76.33333333 44.16666667, -76.28333333 44.20416667, -76.23333333 44.20416667, -76.18333333 44.23333333, -76.13333333 44.29166667, -76.06666667 44.32222222, -76 44.35, -75.95 44.34722222, -75.81666667 44.44583333, -75.76666667 44.5125, -75.5 44.71666667, -75.7 44.66666667, -75.75 44.81666667, -74.88333333 44.96666667, -74.96666667 45.06916667, -74.78444444 45.14305556, -74.56666667 45.18333333, -74.25 45, -71.48333333 45.01666667, -71.33611111 45.28333333, -71 45.31666667, -70.50277778 45.68611111, -70.25 45.90833333, -70.20833333 46.30833333, -70.05833333 46.41666667, -70 46.75, -69.21666667 47.45, -68.56666667 47.2875, -68.53222222 47.32666667, -68.48194444 47.36388889, -68.42666667 47.39777778, -68.3675 47.42833333, -68.30444444 47.45527778, -68.23833333 47.47833333, -68.16916667 47.4975, -68.09777778 47.51222222, -68.025 47.52277778, -67.95083333 47.52861111, -67.87638889 47.53027778, -67.80194444 47.5275, -67.72805556 47.52027778, -67.65555556 47.50861111, -67.58472222 47.49277778, -67.51638889 47.47277778, -67.45083333 47.44861111, -67.38888889 47.42083333, -67.33055556 47.38944444, -67.27694444 47.35444444, -67.22777778 47.31666667, -67.18361111 47.27583333, -67.145 47.23277778, -67.11222222 47.1875, -67.08527778 47.14055556, -67.06472222 47.09194444, -67.05027778 47.0425, -67.04222222 46.99222222, -67.04055556 46.94166667, -67.04555556 46.89138889, -67.05666667 46.84138889, -67.07416667 46.79222222, -67.09777778 46.74444444, -67.1275 46.69833333, -67.17027778 46.64527778, -67.20333333 46.61194444, -67.24916667 46.5725, -67.3 46.53611111, -67.21666667 46.2, -67.21666667 46.14305556, -67.58333333 45.825, -67.80694444 45.78333333, -67.775 45.625, -67 44.93333333, -67 41.86666667, -67 41.61666667, -69 41, -69.34166667 40.925, -70.87944444 40.57666667, -72.5 40.07222222, -72.78194444 40.19861111, -73.00833333 39.99444444, -73.15 39.73333333, -73.28333333 39.73333333, -73.72916667 39.93333333, -73.69861111 40.23888889, -73.29166667 40.80138889, -73.37777778 40.85833333, -73.85972222 40.85833333, -73.86666667 41.24583333, -74.44444444 41.4375, -74.76666667 41.73333333, -74.80833333 41.75833333, -74.90833333 41.80138889, -75.05833333 41.86944444, -75.34166667 41.98888889, -76.01666667 42.28333333, -76.80277778 42.60833333, -76.69722222 42.72777778, -76.68916667 42.76861111, -76.66666667 42.88333333, -76.73333333 43.01666667, -76.76388889 43.06666667, -76.775 43.32916667, -76.77833333 43.35444444, -76.78055556 43.4, -76.79666667 43.63111111))"
ZDC,HIGH,"POLYGON ((-80.4 39.16666667, -79.89444444 39.17361111, -79.54305556 39.37083333, -77.93333333 39.85, -77.84027778 39.85555556, -77.61722222 39.77222222, -77.35666667 39.78166667, -77.35833333 39.51, -76.85555556 39.385, -76.34722222 39.39166667, -75.65 39.85, -75.625 39.86111111, -75.32916667 40.06944444, -74.78333333 40.10972222, -74.68472222 39.98333333, -73.69861111 40.23888889, -73.72916667 39.93333333, -73.28333333 39.73333333, -73.16666667 39.68333333, -73.43333333 39.33333333, -73.84166667 38.76666667, -73.98333333 38.54166667, -74.59972222 37.08166667, -74.59972222 36.78777778, -74.93694444 35.49694444, -75.19 35.30805556, -75.68388889 34.60027778, -76.77944444 32.96777778, -78.75 34.44444444, -79.33333333 34.425, -79.72805556 34.71333333, -79.91666667 34.85, -80.14722222 34.85555556, -80 35.10833333, -79.80416667 35.38333333, -79.74444444 36.08888889, -79.95 36.15416667, -80.63333333 37.33194444, -80.74583333 37.30416667, -80.84166667 37.46666667, -80.71666667 38.04166667, -80.56666667 38.76666667, -80.4 39.16666667))"
ZDV,HIGH,"POLYGON ((-103.16666670000001 44.95833333, -101.4833333 44.7, -101.4083333 43.70833333, -100.1 43.28888889, -99.01666667 42, -99.05833333 39.98333333, -98.8 39.46666667, -102.55 37.5, -105 36.71666667, -106.08333329999999 36.71666667, -107.46666670000002 36.2, -108.21666670000002 36.03333333, -110.23333329999998 35.7, -111.84166670000002 35.76666667, -111.50416670000001 36.42083333, -111.60833329999998 36.73333333, -111.87916670000001 37.4125, -110.88333329999999 37.83333333, -110.15694440000001 38.12916667, -109.98333329999998 38.2, -109.98333329999998 38.93333333, -109.98333329999998 39.21666667, -110.3 39.58333333, -109.16666670000001 40, -109.1 40.85, -108.275 41.36666667, -108 41.60833333, -107.05 42.41666667, -107.28333329999998 43.88333333, -106.26666670000002 44.31666667, -106 45.2375, -104.25 45.11666667, -103.16666670000001 44.95833333))"
ZFW,HIGH,"POLYGON ((-100 35.82916667, -98.5 35.81666667, -98.01666667 35.88333333, -97.88333333 35.925, -97.58333333 35.49166667, -97.08333333 35.45833333, -96.40416667 35.65, -96.05 35.87083333, -95.6125 36.01666667, -95.36666667 35.87083333, -95 35.65416667, -95 35.38333333, -95 35.06666667, -94.78333333 34.69166667, -94.53333333 34.53333333, -93.54166667 34.03333333, -93.15833333 33.95, -91.9 33.00416667, -91.68888889 32.28333333, -92.25833333 32.28333333, -93.32083333 31.55833333, -94.2 31.57222222, -95.98333333 31.46666667, -96.68333333 31.20416667, -97.2 31.2, -97.5125 31.2125, -97.7125 31.375, -97.79444444 31.39027778, -99.46666667 31.38333333, -100.55 30.98333333, -102.15 31.28333333, -103.33333329999999 31.65, -103.8 32.03333333, -103.9333333 32.46666667, -103.8 33, -103.8 33.38333333, -103.6916667 33.40277778, -103.3666667 33.775, -102.8 34.31666667, -102.325 34.55, -102 34.6, -100.75 34.46666667, -100.3166667 34.86666667, -100 35.33333333, -100 35.82916667))"
ZHU,HIGH,"POLYGON ((-102.5583333 29.76666667, -102.15 31.28333333, -100.55 30.98333333, -99.46666667 31.38333333, -97.79444444 31.39027778, -97.7125 31.375, -97.5125 31.2125, -97.2 31.2, -96.68333333 31.20416667, -95.98333333 31.46666667, -94.2 31.57222222, -93.32083333 31.55833333, -92.25833333 32.28333333, -91.68888889 32.28333333, -91.30833333 31.9125, -90.34583333 31.65, -89.85 31.63055556, -88.9 31.54722222, -88.325 31.51666667, -87.81666667 31.52083333, -87.4 31.28055556, -87.65833333 30.95833333, -87.68333333 30.84583333, -87.71666667 30.69166667, -87.80833333 30.68333333, -87.91666667 30.63333333, -87.91666667 30.51666667, -88.025 30.22083333, -88 28.14166667, -89 28.25, -94 28.25, -95.15 27.53333333, -95.91666667 26, -96 26, -97 26, -97.4 25.84166667, -97.75 26.03333333, -98.05 26.05, -98.21666667 26.06666667, -98.65 26.23333333, -99.06666667 26.4, -99.18333333 26.66666667, -99.31666667 26.88333333, -99.45 27.06666667, -99.51666667 27.30833333, -99.525 27.49166667, -99.7 27.65, -99.83333333 27.775, -99.95 27.98333333, -100.1916667 28.18333333, -100.4833333 28.65, -100.6333333 28.9, -100.75 29.16666667, -101 29.36666667, -101.25 29.53333333, -101.29166670000001 29.58333333, -101.5166667 29.75833333, -101.8 29.78333333, -102.05 29.79166667, -102.3166667 29.875, -102.4 29.76666667, -102.5583333 29.76666667))"
ZID,HIGH,"POLYGON ((-88.25 40, -86.1 40, -85.525 40.35416667, -84.68333333 40.66666667, -84.68333333 40.775, -84.7 40.90833333, -83.74583333 40.78333333, -83.65 40.7375, -83.5 40.55833333, -83.33333333 40.50833333, -81.78333333 40.6, -81.63333333 40.21666667, -81.55 39.75, -80.5 39.16666667, -80.4 39.16666667, -80.56666667 38.76666667, -80.71666667 38.04166667, -80.84166667 37.46666667, -80.74583333 37.30416667, -85.4 36.18333333, -85.58333333 36.9, -85.74583333 37.01388889, -86.15 37.3, -87.39722222 37.275, -88.31666667 37.725, -88.23333333 38.15, -88.09444444 38.48527778, -88.14805556 39.86833333, -88.18333333 39.90416667, -88.25 40))"
