LAUNCHES_REC_ID,DISCOVERED
243,"[21916, 21917]"
248,"[1006, 1076, 1121, 1140, 1155, 6132, 6133]"
249,"[18656, 18658]"
251,"[19052, 19054]"
254,"[24942, 24943, 29952, 29954]"
257,"[39421, 39423, 43061, 43062, 48743, 48744]"
258,"[52822, 52823, 52824, 53429, 53430, 53432]"
259,"[61995, 61998, 62371, 62373]"
260,"[62745, 64757, 64758, 69764, 69801, 69820, 69821]"
261,"[75916, 76921, 76922, 76923, 76924, 76941, 76943]"
262,"[75331, 120585]"
263,"[82263, 82303, 82341, 82373, 93346, 93347]"
266,"[107683, 110831, 110871]"
267,"[129764, 129765]"
270,"[139859, 139860, 140356, 140357, 144794, 144795]"
275,"[174737, 174738]"
276,"[176734, 176735, 179495, 179496]"
279,"[204969, 204970, 205901, 205904]"
282,"[214331, 214332]"
283,[216713]
284,"[226253, 226254, 228892, 228893, 228902, 228915, 228917, 228919]"
286,"[244042, 244043]"
287,"[247149, 247161, 247162, 247354, 247366, 247382, 247383, 248560, 248626, 248753, 248754, 248776, 248777]"
295,"[294260, 294274, 294275, 294276, 294277, 294278, 294279, 294280]"
296,"[294135, 294136, 294489, 294490, 296292, 296293]"
301,"[320722, 320723, 320795, 320796]"
303,"[330371, 330372, 332724, 332725, 335151, 335152, 335176, 335177, 335178]"
304,"[334960, 334983, 335002, 335068, 335069, 335106, 335107, 338375, 338376]"
305,"[346503, 346554, 346555, 346572, 346573, 350454, 350455, 350463, 350464]"
306,"[350499, 350501, 350511]"
307,"[358720, 358721, 360846, 360847, 360848, 360849, 360850]"
308,"[371960, 371961]"
310,"[388196, 388198, 388200, 388201, 388202, 388203, 388233, 388234, 388235, 388236]"
312,"[388060, 388061, 388206, 388238, 388252, 388253, 388258, 388267, 388281]"
316,"[413032, 413033, 418166, 418167]"
319,"[428869, 428893, 429002, 429003, 429183, 429262, 429295, 435199, 435200]"
324,"[438841, 438842, 440848, 440849, 441378, 441522, 441523, 442004, 442005]"
325,"[451020, 451021]"
326,"[452706, 452707]"
329,[465669]
330,"[469667, 469668, 469677, 469728, 469729, 469740, 469749, 474607, 474608, 475006, 475007, 477088, 477095, 477096, 477100, 477101]"
332,"[485965, 485966, 486814, 486828, 486829, 486850, 486851]"
339,"[527119, 527120, 530831, 530832, 534411, 534437, 534438, 534439, 534440, 534441]"
340,"[542250, 542251, 544997, 544999]"
341,"[552332, 552333]"
342,"[554519, 554552, 554553, 554554, 554555, 554587, 554626, 556243, 556244]"
345,"[573212, 573213, 576511, 576512, 576667, 576668, 576669, 576702, 576703, 576704]"
347,"[589264, 589265]"
349,"[600529, 600530, 600546, 600748, 600749, 600776, 600837, 600838, 607575, 607577]"
350,"[600588, 600624, 600670, 600688, 600693, 600712, 600713, 607593, 607594]"
351,"[607593, 607594, 609869, 609889, 609899, 609920, 609921, 609922, 609933, 612028, 612029]"
352,"[618845, 618846]"
353,"[614879, 614880, 614881, 614882, 614883, 614909, 614974, 623164, 623166]"
354,"[627487, 627488, 627489, 627490, 627497, 627498, 627556]"
355,"[627586, 627587, 627598, 627599, 627600, 627617, 627654, 638008, 638009, 639679, 639680]"
358,"[636707, 643756, 643757, 648256, 648257, 648290, 648291, 648292, 648293, 648294]"
359,"[651342, 651343]"
362,"[671792, 671793]"
363,"[676518, 676519]"
365,"[689075, 689076]"
366,"[692104, 692105]"
369,"[696630, 701350]"
370,"[705908, 705909, 705927, 705928, 705929, 705930, 705931, 705932, 705933, 705934]"
371,"[708415, 708416, 708417, 708418, 708739, 708740, 708935, 711606, 711607, 715856]"
372,"[721672, 721673]"
373,"[726952, 726953, 727002, 727007, 727008, 727015, 727016]"
375,"[736992, 736993]"
376,"[741747, 741748]"
377,"[746567, 746568]"
379,"[754840, 754841, 757453, 757454, 757460, 757467, 757468]"
382,"[761961, 761962, 762646, 762647, 767954, 767955, 767956, 767957, 767958]"
383,"[759643, 759644, 759672, 759673, 759693, 759694, 759746, 767937, 767938]"
384,"[781740, 781741, 787065, 787066, 787961, 787962, 787963, 787964, 787965]"
385,"[797041, 797042]"
386,"[811172, 811173, 811174, 811175, 811201, 811202, 811203]"
387,"[815520, 815521, 815542, 815543, 815550, 815551, 815569, 822878, 822879, 822880, 822881]"
388,[829241]
389,"[838095, 838096]"
390,[829471]
391,"[833294, 833295, 833296, 835580, 835581, 835582, 848684, 848685, 848686]"
393,"[859329, 859330]"
394,"[868287, 868288, 869807, 869809]"
395,"[876574, 876575, 878532, 878533, 878626, 878627]"
399,"[904810, 904811]"
400,"[911120, 911121, 911156, 911157, 911158, 911167, 911168, 911169, 911196, 911197, 911198, 911241, 911242, 911269, 912164, 912166, 912168, 912170, 912183, 912184, 913513, 913514, 913540, 913541, 914123]"
402,"[923394, 925353, 925355]"
404,"[931630, 931631, 933325]"
407,"[950586, 950587, 951861, 951862, 951929, 951930, 951931, 951932, 951935, 951947]"
410,"[978153, 978196, 978329, 978373, 978403, 979892, 980187]"
413,"[1004729, 1004730, 1004731, 1004732, 1004733, 1005529, 1005549, 1012899, 1012901]"
415,"[1021849, 1021850]"
419,"[1032123, 1032124, 1032158, 1032159, 1032164, 1032170, 1032178, 1032187, 1032193, 1032248]"
420,"[1036006, 1036018, 1036026, 1036028, 1036054, 1036058, 1036066, 1036080, 1039445, 1039450, 1039461]"
424,[1056645]
428,"[1066581, 1066582, 1066671, 1067728]"
430,"[1086089, 1086090, 1086747]"
431,"[1096424, 1096427, 1096676, 1096685]"
434,"[1127489, 1127490, 1127817, 1127849, 1127902, 1127903]"
435,"[1133512, 1133513, 1134047]"
437,"[1144961, 1144964]"
438,"[1146924, 1146949, 1146953, 1146954, 1146984, 1146988, 1146990, 1147029, 1147052, 1151965, 1151967]"
441,"[1170914, 1170917]"
442,"[1178390, 1178393, 1179325, 1179326, 1179327, 1179328, 1179329, 1179334, 1179335, 1179341, 1179343]"
443,"[1186313, 1186317]"
445,"[1194914, 1194915]"
449,"[1212886, 1217591, 1217733, 1217735]"
450,"[1225053, 1225056]"
451,"[1225583, 1225611]"
452,"[1231893, 1231930, 1231964, 1231987, 1232003, 1232005, 1235079, 1235080, 1239972, 1239975]"
453,"[1243795, 1243803]"
454,"[1243795, 1243803]"
455,"[1250834, 1250858, 1250865, 1250868, 1250869]"
456,"[1252774, 1252778, 1258472, 1258578, 1258583]"
457,"[1264800, 1264864]"
458,"[1263521, 1263668, 1269062, 1269525, 1272839]"
